	ERBB3_PI3K	RAS_WNT_PI3K	KRAS_AP1	MYC	BRAF_MAPK	TNF_NfkB	HNF1_PAX8	MYC_E2F	EMT
RFX8	0.0808745475	0.1354467062	1.53712964063727E-20	0.0612557989	0.0556777487	0.648366938	6.80435103674085E-16	5.87311431625922E-08	0.6290778872
GOLIM4	0.6135577221	0.9540656861	0.9366416937	0.9115302654	0.7835669365	0.7787284641	0.8605167263	0.8878005945	1.0436339361
CDH13	0.0207620787	0.1012178058	0.5871062861	0.2175971845	0.3038384187	0.2298761993	0.0657108497	3.1931557092225E-21	1.4086230519
RP11-318K12.1	0.0667289198	0.7225473866	3.36150044839137E-21	1.33707204304127E-12	0.2813558634	0.7645271343	0.1883359913	4.11646493886333E-07	2.43258659026943E-21
TGFB1	0.2411361759	0.7006035104	0.9511980179	0.4186691098	0.5925540728	1.3765151968	0.7889490648	1.1036305491	0.99196834
SPRED1	0.4370805445	0.8408602448	0.4151956222	0.3667339116	0.8429072837	0.8626465636	0.4575903521	0.7655699211	0.746177253
ARHGAP31	0.1373376698	0.2186337938	0.1847254814	0.206922053	0.7709502106	0.412244199	0.4421904754	0.4246092727	0.9413636617
RP11-17M16.1	0.1402776524	0.3109205176	0.0401996056	0.4490746988	0.3031863782	0.2633095512	0.0473993214	0.2302068727	0.2279782078
TNFAIP6	1.89323010468884E-21	0.0543384532	0.1333891097	2.34695843968654E-21	0.6204202702	2.28882700783124E-05	0.4988935418	2.36986452410765E-21	0.8449257935
FZD8	0.4087045777	0.1949932907	0.3192600817	0.5157958432	0.4673722971	0.1516518056	0.2779584744	0.6460026642	0.9039154864
GLUD2	0.5763247158	0.5138955922	0.4672362883	0.3641721333	0.6646943383	0.4217235505	0.5348970585	0.7556584098	0.5800795037
GFPT2	0.1044071995	0.0010206779	0.3506864328	0.2008801726	0.4464195336	1.1205147259	0.2027591333	0.7318575816	0.914809832
ZADH2	0.6889649531	0.633472799	0.3362376214	0.8158387906	0.6922067979	0.6057387386	0.372643537	0.609496809	0.6143626006
SNAI1	0.3377365082	0.4715890962	0.2334317793	0.5215520776	0.555619458	0.4174800908	0.4557994323	0.7925555539	0.7524020505
MAN1A1	0.5513118592	0.8207616906	0.2383934369	0.7161949265	0.3312207952	0.5467312714	0.4280634793	0.0156401184	1.1005577676
RP1-101K10.6	0.5021001146	0.652463025	0.4772117471	0.7305385334	0.5960896113	0.7099656912	0.5712222879	0.7601706899	0.6885178795
KHDRBS3	0.3754659067	0.4125689798	3.20840257925197E-10	0.9099149246	0.7943864387	0.3430975987	0.4911414113	0.2722399997	0.7485278631
RP3-497J21.1	0.0326309164	0.1867478793	0.0790341747	0.0995849236	0.1950100143	0.1617881144	0.0803784632	0.3361741441	0.0260341978
ALAS1	0.9405969713	0.9276029315	0.7828656133	0.8150643417	0.8046179138	0.9604304803	0.8465387764	1.0041697874	0.845842431
PPM1F	0.5356626358	0.5209464923	0.6286779743	0.5687765064	0.7894905449	0.782643284	0.5954048721	0.998852914	0.8470563377
TRPA1	0.1091136281	0.0418398722	3.08450091596466E-07	0.4525678316	0.2100502032	0.1417500995	0.1941390998	3.41979779209505E-21	0.5484588426
CCDC28B	0.3753910578	0.4229347079	0.3005895231	0.8243297127	0.537288062	0.4246036927	0.3584985831	0.7245174327	0.6649387093
HHIP	0.0003035183	0.1225058367	0.0270053021	0.2734319566	0.1548899801	0.1661800672	0.0779539276	0.210106316	0.6522233998
SLC4A8	0.3475591503	0.1763067057	3.98709477082327E-21	0.7437963125	0.1638010082	0.176826608	0.1119185856	0.5045661257	0.6884957152
C20orf197	0.0998477728	0.0401962338	0.092553687	0.3596963519	0.0511856686	0.454031672	0.0344953607	0.0068270033	7.71091805316049E-11
DVL1	1.0148023553	0.889209314	0.8166381819	0.8249855503	0.7115386773	1.0283883519	0.8370580959	0.9973397995	0.9074405769
KCTD17	0.2693156165	0.5379553066	0.5049424389	0.8113574523	0.5861921007	0.6067462135	0.5643591111	0.8538890454	0.8650512601
PDLIM4	0.0610025084	0.1129202134	0.7933219535	0.2824596907	0.63558059	1.0238919729	0.1194435157	0.3152766427	0.9918383369
SPRY2	0.4581376212	1.0164933286	0.3774744553	0.5009609085	0.9813733435	1.0020727889	0.627387284	0.657431793	0.7299481776
STEAP1	0.4177669417	1.0676638337	0.5683446826	0.1597732861	0.6486465807	1.5012143792	0.3140659628	0.6223308798	0.5855867801
LINC00094	0.6319025729	0.4539078625	0.619853267	0.7966582155	0.5426209053	0.7048969518	0.6649770852	0.9249490978	0.8637559088
EEF1A1	1.1131964904	0.9627123442	0.9690724638	0.9501670874	0.8619078526	1.0223405864	0.9794691033	1.0292734829	1.0617517057
FERMT3	0.327114101	0.4447548565	0.1769092565	0.3669816434	0.545678944	0.5057002278	0.0504633815	0.4283364026	0.4788873022
LIPT2	0.5071609757	0.4991978958	0.3940969425	0.4964711133	0.450930662	0.2955103453	0.3532517711	0.6894895589	0.3996358577
GLT8D1	0.7389839357	0.6904030024	0.7284993749	0.7611766948	0.7249461846	0.8144609464	0.7760506299	0.9190543142	0.9855289147
VGF	0.3017720332	0.4843021543	6.68164919478791E-18	1.0140832473	0.7744629633	0.7064249474	0.0318203582	0.7240397547	0.1184685598
GALNT1	0.8957486926	0.8754338287	0.8842769168	0.7963079026	0.7530468036	0.7707614237	0.9050046489	0.8490112013	1.026010534
CCDC74A	0.3097830183	0.3320995963	0.073962975	0.7081150892	0.3011354223	0.3865456325	0.4169025669	0.8233430481	0.6053663804
RP4-765A10.1	0.8478090471	0.8974193876	0.8587924969	0.8082776427	0.6794199704	0.9550474021	0.8287306968	1.0600867388	0.8371658172
PPAT	0.8263542768	0.7559680068	0.5978056355	0.9010273932	0.6688232031	0.9022784734	0.7330766525	1.0912811115	0.5907406969
HAS2	0.0029816841	0.6354571049	0.2879802131	0.0570750688	0.5815258618	0.6371020362	2.54430797883334E-21	7.36313344699611E-09	1.0159784281
AC112721.2	6.26055454103782E-21	0.0267175085	1.63418953045077E-21	0.0800269318	0.1386727852	0.1885432539	7.32147633893015E-06	1.05847064176875E-20	0.6934256075
MAP4K4	0.6123947817	0.8685929647	0.9340451547	0.9469118668	0.803745573	1.1883945325	0.9664093441	0.8867298795	0.9271767976
AGPAT9	0.6843704686	0.6765060799	0.329419652	0.1433323682	0.9189171243	1.4079949602	0.7386289315	0.5605351798	0.1549390368
TSPYL2	0.7843422561	0.6006429249	0.5902240664	0.9238310758	0.6453508102	0.5201048421	0.6501438316	1.0199647403	0.9492921396
NRP1	0.5474696736	0.4817049322	0.3258645548	0.4128003332	0.5124371479	1.4997305879	0.9948533625	0.1863327386	1.0239599881
ACN9	0.3981016749	0.8478234853	0.655629018	0.8663770076	0.6939543005	0.8014792784	0.6766368391	0.880421238	0.4656129056
DNAJB5	0.2162302506	0.169134433	0.28834053	0.6156200357	0.4243116015	0.4998261801	0.3245508884	0.7447775252	0.7995202409
ACSS3	0.3593138073	1.89866611873704E-21	1.94137126580202E-21	0.4167710458	0.2287164145	2.17223708691303E-07	0.4832993153	1.09267811206321E-18	0.867500824
CTD-3199J23.2	0.2354703851	0.2553682166	0.0487155032	0.2952979668	0.1834962718	0.1766968352	0.0079385688	0.5109201074	0.1364144874
FXC1	0.8635424787	0.8241210443	0.649746987	0.8216596866	0.7578987979	0.6733745947	0.7553706671	0.8171312575	0.8315823591
IRF4	0.1849346979	0.1848432279	0.099478416	0.170753624	0.8096857017	0.0269231215	0.1136892959	0.1647025723	0.1544965037
RP11-40H20.2	0.7258179338	0.7749040849	0.7507226359	0.576110972	0.7117890159	0.9306555845	0.7702532554	1.107004421	0.7564124961
CPSF3L	0.9489318239	0.8025241856	0.8157055109	0.8360249458	0.7339160883	0.8817335782	0.7883786033	0.9789381325	0.8642410255
RP11-210M15.1	0.0453657985	0.1016479664	1.76255407174291E-21	0.1588872821	0.3061921971	0.0675652856	0.0797227084	0.0438145651	0.0694725724
CAPRIN2	0.3416962115	0.6899361787	0.5148493009	0.8041712021	0.623084265	1.0983678689	0.5378068082	0.652011718	0.6323757134
PDE2A	0.096832315	0.1643469037	1.68213170246358E-11	0.6146554149	0.1841275508	0.7480048679	0.153247733	0.3188750917	0.0702819337
E2F4	0.9872889738	0.927645717	0.9194823576	0.8655800673	0.7924153216	1.0177707443	0.8501567574	1.0232295723	0.9017316586
CDH11	0.0009010171	0.1891136145	0.1897287768	0.2737177177	0.0472958173	0.3579171444	0.0721879577	0.1448046385	1.4956347613
RP11-291L15.2	0.083389738	0.1657712121	0.0556448831	0.3842768716	0.2134290705	0.2913627234	0.2407217918	0.3062504225	0.6624326895
RP11-77K12.4	0.3223217513	0.1385170531	0.0179153392	0.0962295255	0.6092927305	0.2482738676	0.0924342827	0.5629451471	0.0169732073
ITGAX	0.000643061	0.1512814396	0.1460061415	0.0617867923	0.4614547523	0.4031387534	0.3500377983	0.1216718738	3.41603199432716E-20
CCDC147	0.1556176821	0.110607352	0.1112821606	0.1206031386	0.1969228633	0.3444573132	0.1466652109	0.2864340765	0.4571258215
STK10	0.5544802075	0.5548126245	0.6103519396	0.4104522267	0.8182569126	1.0781871027	0.4800956753	0.6946701989	0.7390126452
C17orf79	0.9481556155	0.8249963611	0.7442249222	0.8157677869	0.7988093289	0.8899217196	0.8405791375	1.0342056683	0.9849584135
CDCA5	0.9674493138	0.8353866675	0.8116521862	0.9464697066	0.7646376882	1.0385726686	0.8103320872	1.051601156	0.7616087252
RARA	0.8525557578	0.5430079723	0.4765236432	0.5821463057	0.7020507464	0.6131444221	0.6465289404	0.7416727263	0.8424257198
HAS2-AS1	1.23009089680587E-05	0.4710554232	0.1578831131	5.20997201617724E-18	0.3737766638	0.4387354532	1.83267957062149E-21	5.50619268875523E-21	0.7309807121
TLE3	0.9428892079	0.6518927347	0.5994299584	0.8187895738	0.6063852879	0.5527596968	0.45544569	0.8695910781	0.6420428532
FKBP7	0.1994466434	0.4377659869	0.1934318436	0.6993799883	0.6421933962	0.3629164879	0.6025291583	0.47994897	0.9906506589
PDLIM3	0.1873854813	3.04723913224759E-21	0.2006950866	0.6858890144	0.6129937769	0.3100469588	0.2427105132	0.2063443723	0.783564794
PAX8	3.05615830673256E-12	0.4615229993	0.2420387911	0.1174709652	0.2919731701	0.2019095938	1.3933010707	0.3367107223	0.3048476896
GTF2H2C	0.5473582689	0.5452415326	0.3522324197	0.637655769	0.5602968462	0.6805085522	0.5762798378	0.9604131325	0.6541151032
NLK	0.7294763624	0.6056555034	0.4633396757	0.7882320796	0.6512435453	0.6962304806	0.6279875042	0.7194970351	0.6459748129
RP11-122A3.2	2.36519822998837E-21	0.047026207	0.0752986791	1.0386768388	0.6930398595	0.6876836737	0.6752543142	0.2545695545	0.9528272899
FMNL1	0.4670872078	0.1646663716	0.2676118371	0.4143220296	0.2757438984	1.2749002873	0.6034293529	0.988639308	0.3537695727
TTL	0.5170918468	0.7210976236	0.5970348138	0.9455804921	0.7627020606	0.8544672982	0.7336063927	0.9878052136	0.8782169069
ZNF736P9Y	5.16131732818372E-12	0.135271611	0.1329641067	0.0128488177	0.0216849271	0.0399785156	0.112420647	3.12227434130687E-13	0.097331189
MMP1	0.1350805357	0.6582948151	0.6680594693	0.2001360454	0.7858415727	1.0345762304	0.1476969133	0.2711540365	0.799171763
EIF3H	1.0704540056	0.9295480951	0.9107482284	0.9036663846	0.7963462709	0.9997470473	0.8956020083	1.0262940574	0.9426188367
RP1-224A6.3	0.1187490824	0.2672891631	0.000055497	0.0949841832	0.2705345099	0.2088371667	0.0339710643	0.3836962627	0.1496143376
RP11-1136L8.1	0.1699260454	0.2371752122	0.0598382012	0.1347654327	0.0542227846	0.1189690767	0.01452737	0.2785983184	0.124799497
CCDC74B	0.2139251176	0.2625196914	0.1650597597	0.7132976387	0.3045681741	0.3079187849	0.3913415338	0.9144848095	0.5319317868
SLC25A6	1.0740504918	0.9632505226	0.9425040877	0.9416051101	0.8506721797	0.9740660047	0.9592951439	1.0326426534	1.0441969645
SNHG10	0.6217739119	0.6121070514	0.526509383	0.72391203	0.4647358279	0.7453993007	0.4160032679	0.8943390529	0.4695091937
METTL9	0.9726263616	0.8589613395	0.7797637451	0.8947823526	0.8117198824	0.8727245581	0.8637884958	0.974839933	0.9428159833
TIMP1	0.7070861825	1.0060192054	0.8760472206	0.22901424	0.9126212138	1.2759506659	0.8552310838	0.9407838051	1.0598105839
SYT1	0.3636439417	0.3051320654	0.2591024861	1.2610614274	0.2508222493	0.6272010506	0.2854274743	0.0728201197	0.5350981761
CYP2C9	0.1004806875	0.3293065053	4.72348304740934E-08	0.0129527356	0.0219096673	2.04260879031816E-11	0.2584400034	0.1353183884	0.0275003785
STAMBPL1	0.3186661955	0.8630303519	0.1927701457	0.4617412205	0.5534763659	1.0830451371	0.337847742	0.2993616627	0.6486982016
RTN2	0.5687501065	0.4103073049	0.296217532	0.8778821818	0.4787587419	0.5001798745	0.4135704902	0.8064786086	0.6493920597
RPL6	1.1076773366	0.9591747584	0.9617249744	0.9472038116	0.854394714	1.0159444001	0.9725899184	1.0273218721	1.0485023581
PNPLA3	0.3890770314	0.3130607802	0.31541925	0.4373870654	0.7224221558	0.3866274923	0.3360709688	0.7602591074	0.5751350542
STMN3	0.5273619387	0.6384107657	0.42874285	1.211937842	0.6769833087	1.0904794992	0.6640904217	0.7434697622	0.6382599404
SFR1	0.5057905372	0.6302861682	0.4136606645	0.5100838645	0.4447155615	0.9230821744	0.4938570912	0.7725447792	0.4232284654
CBLN1	0.1376710003	0.1907289201	0.0203067983	0.9101405371	0.1508898078	0.0084325625	3.42675192641564E-18	0.3546911072	0.0438679231
NT5E	0.4113264011	0.887833838	0.6712556073	8.87303488782669E-20	0.7111823552	1.8440905229	0.9218544813	0.1981688144	0.8996670256
CALB2	0.6941478266	0.4096149493	3.92938079148641E-14	0.3692734459	0.1756400543	1.5410085473	0.202207543	0.495377996	0.2246250592
CDYL2	0.7597387897	0.0851641894	0.0974817069	0.1691884106	0.2014138412	0.4501901858	0.3017152317	0.3291099094	0.680284615
PITPNC1	0.7860604955	0.5952100157	0.2258633585	0.6635962366	0.6637080729	0.8408547872	0.1957194799	0.9157805132	0.5496631124
CTD-2165H16.1	0.9193810359	0.9435466975	0.876389048	0.7552059486	0.7552764622	0.9182812083	0.8743522874	1.0632631709	0.9728465987
NUDT6	0.5062703624	0.4666319401	0.274631951	0.436219279	0.5147942599	0.515439147	0.5305420829	0.809489328	0.5635093787
TRAC	0.0411734815	0.197820707	0.1671058785	0.2261127529	0.3963239725	0.2587827729	0.0484103823	0.1799436596	0.4990295852
HS3ST3B1	0.0832828922	0.1825740152	0.3362992216	0.3424583467	0.1208126287	0.1858354891	0.1478602188	0.4283840549	0.9284519475
ZG16B	0.9022841808	0.6039565641	0.1795870685	0.0004246345	0.0620832419	0.4445551679	0.0221141559	0.2959824742	0.2776112028
RP11-394J1.2	0.3489701729	0.5014623704	0.5508659776	0.2853495726	0.6955688007	1.3864630731	0.5968894974	0.7520934469	0.7617525574
RP11-124N14.4	0.0858333843	0.1322435108	0.0610835073	0.1090576902	0.5429699606	0.8162069685	0.3951362435	0.6494737841	0.4312757939
STXBP1	0.5560214436	0.5638491037	0.5193379751	1.0424951089	0.8335831734	0.7626608309	0.486854367	0.8746233907	0.8555894362
STRADB	0.5289680708	0.7254271544	0.5179180375	0.6776808145	0.7777198412	0.6502351441	0.8421850137	0.9632752079	0.8427951278
MCL1	1.0907040781	0.918344216	0.9417566261	0.9283480829	0.8257740535	1.011523285	0.9509177626	0.9979342979	1.0227774404
RENBP	0.3103353496	0.4279232847	0.08867073	0.5007858267	0.965037993	0.000001048	0.3102598235	0.0016728357	0.3290408171
ACO1	0.7650340606	0.8188734866	0.659835487	0.6717842799	0.6886082051	0.9752613443	0.9301738674	0.8793902422	1.00368847
IFNGR2	0.6609114038	0.8257750519	0.7544890582	0.7774349188	0.8225452109	0.906791494	0.7721250816	0.8640609445	0.8264285108
CHRNA9	0.0345391401	0.015568147	0.0034191947	0.3551355192	0.072302461	0.3250966378	1.61922383317974E-11	0.2668588132	0.257512044
ITPRIP	0.2929341084	0.4629830427	0.7449469992	0.2245837731	0.6476499467	1.0648423847	0.4253401261	0.7605994263	0.9206728396
NOVA2	2.76160946029484E-21	2.31023816679052E-21	0.044373146	0.6739142761	0.1213602549	0.0765319119	2.56946103266088E-21	0.5884704841	0.1461336805
MTHFD2L	0.4727034626	0.4922964671	0.2455194852	0.5346317147	0.4248293836	0.5502432299	0.34850865	0.6569244742	0.3995288695
CHPT1	0.7108707314	0.7764570208	0.4229082317	0.5400905841	0.8243117088	0.5195712806	0.699985036	1.0299917245	0.9049653354
SH2D2A	0.3107196467	0.6537097043	0.2141556367	0.4194791373	0.2330871712	0.501447042	0.1145671619	0.3893851883	0.0792737684
FAR2	0.4721049999	0.7437537371	0.3048471397	0.563414724	0.657105302	0.2239671695	0.2721634202	0.1417297237	0.7089189871
SHC3	0.3058536857	0.2983470083	0.0283927875	0.3233063797	0.2282357667	0.6363772493	0.1486230041	0.1838399155	0.5805706309
HMGA2	5.37668704380897E-18	0.6845412901	0.5634211409	9.12019335936327E-10	0.6185466105	1.3082455176	0.5787710996	0.7950157776	0.3709311247
TEAD2	0.7174969454	0.3691377169	0.6887202412	0.0926328438	0.585930018	0.2845418759	0.6214775242	1.5907798919	0.9636547883
PPP1R14A	0.0041807207	0.1492743516	0.1763903063	0.3194668316	1.12558738332277E-10	0.2639689489	0.5416060292	1.0188852681	0.5319148882
CD99	0.726300077	0.6848791336	0.7255959137	0.2761937847	0.8308488002	0.725556833	0.6714239343	1.0062164614	1.1476713188
RGL2	1.1596196127	0.6036063843	0.6530989292	0.7473427718	0.7136463354	0.8143864828	0.7171474038	0.8986773528	0.8120028954
RNF175	4.93576447251046E-07	1.43529096650616E-12	0.164869654	0.19960049	0.4199195347	0.1118067713	0.0836192234	0.1828216099	0.1617542012
RP11-629O1.2	0.5218262236	0.2575549029	0.2499012658	0.1020808918	0.4030635815	0.5127171738	0.1889412136	0.6164232729	0.4321659612
KCTD14	7.35176166143683E-19	0.7457712347	5.98101953878567E-12	0.3111536136	0.1632430498	0.6845163254	0.6718878532	0.1865670905	0.2078356881
TRMT5	0.6198384557	0.6017198491	0.574389208	0.6937498935	0.5080638876	0.7830009783	0.4709400176	0.8336438163	0.59191879
AC010091.1	2.29426357738453E-21	0.0308153065	1.11853027561703E-21	0.0789626716	0.0398607284	0.1063415974	0.0520368774	0.2361153766	0.1564386252
RP11-46H11.12	0.4094321966	2.50895544243757E-13	0.0529336111	0.3093205552	0.191100863	0.1976370404	0.2308953637	0.4676513551	0.2361729016
RP11-18F14.2	0.769947837	0.0966246397	0.0895947344	0.1833736931	0.1932917015	0.455160538	0.3187318919	0.2796734382	0.6706240473
AP000783.1	0.0599448053	1.07214900283139E-21	4.05746640866617E-14	0.4460092963	0.1257071306	0.4968955435	4.3529068352422E-21	0.4536393864	0.5180653864
FOXL1	3.37888961335268E-21	0.5609012053	0.3333299783	4.53728663802026E-21	0.0268069605	1.0903488112	0.1733644976	0.1031560215	0.7189039976
FAM131C	0.2786873967	0.3061173338	0.3472014691	0.3810671229	0.1196529888	0.3588006142	0.2953797392	0.7427310423	0.3348463148
TBX3	0.5076878003	0.9108173253	0.4326561934	0.782680893	0.6135755156	0.007175969	3.2928516403604E-06	0.4163074656	1.3079920628
VIM	2.67511265087693E-06	0.3782046124	0.5938309634	0.5402143599	0.9519327155	1.210946813	1.1148139855	1.1430927816	1.1182815381
SKA3	0.7643012034	0.7889716032	0.6219012406	0.7996585837	0.7189984099	0.907286958	0.6376581422	0.9505965321	0.6874231138
AC012379.1	1.0751381945	0.828012966	0.9090515985	0.9483550998	0.839215555	1.0187855745	0.9669280785	1.0126007833	1.0484620163
FLI1	3.26124187064327E-07	0.0749584359	0.2442803012	0.4246196116	0.3351911724	0.5940167216	0.1186294371	3.28969897408439E-13	0.8164576652
CXXC1	0.8325116549	0.7577289106	0.6200901427	0.9648319428	0.7130905858	0.7376436445	0.7558835134	0.9642094506	0.8454052804
RP11-169D4.2	0.0673082631	0.082321899	0.017280939	0.4464119895	0.1945134995	0.5636459065	0.1213778427	0.1889585116	0.1450860343
BCL6B	0.0859238933	0.1819697732	0.0167683462	0.2352427189	0.0230609263	0.0773492266	0.0215319496	0.3660335022	0.0979514106
VAT1	1.0011639452	0.8427933233	0.8348410136	0.8712531936	0.8509098254	1.0191011569	0.9807401955	1.0039877919	1.0206336259
CUBN	1.32829609328363E-09	0.1650856463	0.0010116467	0.1573475119	0.6108942612	0.2406989475	0.0892944732	0.3468461201	0.3189299495
GLT25D1	0.9943924331	0.8968195592	0.9405804759	0.8715111143	0.8451566897	0.9848890275	0.9501064771	1.0109397494	1.0215571157
CTD-2323K18.1	0.5823217768	0.6560622662	0.5701226208	0.5447426488	0.6312586379	0.6051790108	0.5786182194	0.9190323002	0.6756730949
IRAK2	0.1848973506	0.7413077418	0.4436293905	0.1927955117	0.3344621636	1.4044524038	0.5624200885	0.4914539045	0.4522133818
GDF11	0.4465913029	0.4789031433	0.4679585147	0.8191468718	0.7060088294	0.4176209778	0.4415702241	0.9185018016	0.8395129073
IPO5	0.9284676619	0.9310554101	0.862625049	0.9398630781	0.7750541796	0.9473930222	0.8624178145	1.0112354829	0.9952349724
AC003092.1	4.02623413369638E-21	0.0792259012	1.83829446649567E-21	0.0294907801	0.5315622025	0.7353988435	0.4826533806	0.0082750507	0.2971840614
ARL2	0.9424510199	0.9164149696	0.9041059569	0.890478516	0.8236995095	1.0151167837	0.9035413894	1.0298775728	0.9763821819
PSD	0.2140828174	0.2931251755	0.0842982631	0.9025876832	0.1204031363	0.0698788221	0.0441175509	0.5465967344	0.2981525174
TSPAN18	4.25050767104057E-21	0.0754412844	0.1939415984	0.496487986	9.76741228666472E-21	0.1869276889	0.3702814346	0.5639463519	0.4495688086
FMNL3	0.1448526339	0.4285533674	0.305814928	0.6386148847	0.7275402247	0.6492832429	0.3944862918	0.8578773002	0.8901706586
GLCE	0.5470363466	0.83101837	0.6117974292	0.6762580833	0.6749552461	0.6256839674	0.4229381857	0.7954448687	0.6927250367
FXYD2	4.80376401224664E-21	0.3490927873	0.0952920918	0.3789960021	0.1229367303	0.0386545706	0.8985532124	0.0541144129	0.037551794
LTBP1	0.8093533572	0.2781977504	0.6060133803	0.2249060906	0.4655772974	0.2886440658	0.3246483411	0.8009634624	1.3646578677
HJURP	0.8899355646	0.838673047	0.7758355621	0.903195113	0.8124167269	1.0682324413	0.8875563073	0.9873186052	0.7991105307
PCDH12	0.2698329624	0.2971979694	0.1437386305	0.3240693568	0.3470485961	0.1515736218	0.1839490787	0.4973568793	0.2767882819
ARMC9	0.5054515706	0.3623232101	0.3212779102	0.5174911981	0.7633901278	0.4953090194	0.4876526744	0.6717602378	0.8723788348
DLX1	0.1851784106	0.069100273	0.4074318594	0.801170679	0.7818389391	0.3439109925	0.2118545389	0.7866123946	0.6507335374
RP11-158I13.2	0.700409134	0.7247524064	0.7242381425	0.9687054252	0.687807205	0.9161766019	0.8652122046	0.9185791494	0.8328886219
IGFBP4	0.8055602255	0.8366313868	0.8400114756	0.5206796761	0.4072680207	1.2092057563	0.6100154305	0.8870025074	1.1407511305
RP11-124N14.3	5.00556404383398E-07	0.3864089541	0.5899384805	0.5533251817	0.9505334374	1.2157309374	1.1163532538	1.1313917502	1.1136897681
PHLDA1	0.5076433843	1.0610586619	0.7611417657	0.4714005952	0.9374208499	1.6948835912	0.6440507321	0.524839424	0.7112445284
RP11-101E7.2	0.3299124908	0.4175229729	0.3051957217	0.4014658032	0.5655524441	0.4838605988	0.2154421225	0.570146595	0.4264510469
AFAP1L1	0.0686279732	0.1048607376	0.7286746533	0.2840955122	0.8205625519	0.9723521607	0.8701574865	0.2692044513	0.4628682955
RPSAP52	4.78126908447752E-21	0.3646212438	0.2487586714	2.18577653357928E-21	0.4207670791	0.8322072912	0.1990420326	0.4101015929	0.3930700587
U2AF2	1.0906345479	0.9350915282	0.9264996182	0.9416376399	0.8341960543	0.9902028598	0.9434114414	1.0325872201	1.0097589579
ARAP3	0.2745840888	0.4408488932	0.6966751589	0.318046457	0.7098642993	1.0772427966	0.4788212908	0.1052119609	0.4144818139
AMPD2	0.57367405	0.7406122272	0.6411054872	0.7550122256	0.6795482179	0.7220521536	0.8169478903	1.0690976165	0.9612836183
RBM19	0.7024863658	0.7481086381	0.6012993234	0.7213921145	0.698979073	0.7702083759	0.6520049366	0.9677712538	0.6898539799
ANO7	0.4026049874	0.3473970863	0.0180268316	0.2582038623	0.3580029976	0.2127645062	0.2463768344	0.5564979063	0.3221818837
TRPV3	0.4122619722	0.211116065	0.2214547136	0.0976016778	0.074875018	0.1730456393	1.25399654112777E-12	0.2764848714	0.2527172953
CAPN5	0.4542858828	0.949778297	0.325282036	0.5321546314	0.6167782472	0.3906935094	0.5285151315	0.6020887309	0.9553541231
CCDC110	0.4997287482	0.1229568871	0.0007149592	0.4097106948	0.2571089423	0.0396994651	0.2996174293	0.1469030019	0.3563481537
PRSS3	0.0681935055	1.5372126479	0.1918869739	0.4494153325	0.064840106	0.9212609497	4.96183402016328E-21	1.11231120481688E-20	0.4425574047
RP11-87M1.1	0.5205770228	0.6615412473	0.5272390444	0.465836355	0.5287236926	0.61302823	0.3940648337	0.9412037424	0.5522083783
PAQR3	0.4493563836	0.5393638004	0.4379920367	0.8483490297	0.5921380848	0.7671518099	0.5784280475	0.7421558867	0.6511773923
CDKN2AIPNL	0.8181074049	0.7754286685	0.6954563743	0.8639145501	0.7399814557	0.9490383313	0.8190988836	1.0643509051	0.7919568837
RP5-1142A6.3	0.3328743109	0.307999616	0.1356910088	0.2897674019	0.3457327394	0.0037630981	0.2878447645	0.6056513157	0.5116039045
CCDC85B	0.9143085965	0.8515569781	0.7919319988	0.6649235606	0.7952637362	1.1848951695	0.7428352665	1.0622721178	0.9775386645
MT1E	0.4708258371	0.8065949095	0.5364197047	0.2534600101	0.303976979	1.4770059132	0.7623151034	0.2864498154	0.9444117499
KCNIP4	0.2617612717	0.3159013184	0.1192801059	0.4356860634	0.3447934551	0.206496419	0.2088347757	0.4486378847	0.3070408525
NTRK1	1.53731891343251E-09	0.0687501536	0.035947922	0.516723927	0.1894365754	0.1668667629	4.29825704532377E-21	0.5149219736	0.1839272833
PRMT3	0.6889883098	0.8486277068	0.7376964217	0.7970021641	0.6955680742	0.9722413665	0.6782549419	0.9964577389	0.6161854362
PTPN22	0.1421956137	0.3561702829	4.54601123186834E-21	0.0711637784	0.3194031539	0.5603962715	0.0678853442	0.0757894226	0.4106033996
RP11-72M17.1	0.1845852603	0.3036460342	0.0568102335	0.1280219684	0.1806214217	0.2165201317	4.00878082754949E-05	0.3567645672	0.0198514665
RP11-544I20.2	0.2906766126	0.2617771189	0.1729920968	0.4197799897	0.2205845394	0.2758816588	0.110395078	0.5494765848	0.1587260116
RNMTL1	0.7943018537	0.7355064765	0.5602216724	0.7058618337	0.6947751694	0.7993629107	0.6620980856	1.0540324534	0.6953230666
RP11-867G2.8	0.284156632	1.0465962075	0.3338132238	0.442890952	0.313029337	0.4653469325	0.5349326772	0.348149261	0.5167650044
STK16	0.9418466468	0.8219291932	0.7659323639	0.7980864443	0.7470864806	0.8430940621	0.8326485916	0.9094720807	0.8968067676
PIH1D1	1.0620771426	0.9147934309	0.8858290674	0.9230306429	0.7935116457	0.9554077881	0.9369469509	1.0048415823	0.9419341154
IL31RA	1.04723760125833E-20	0.0400827012	0.091151525	1.41331937230453E-18	0.1049231733	1.2285927484	0.2640014837	0.1841601319	0.2042132442
EFCAB4B	0.3292519155	0.3982821796	0.1276834461	0.3779235157	0.2557217338	0.5300134421	3.72178130033256E-21	0.2269872686	0.2908007175
